chr,start,end,name,score,strand,signalValue,pValue,qValue,peak,width
KI270336.1,185,436,SRR502329_peak_1,91,.,2.5861,13.5627,9.18939,81,251
KI270337.1,168,415,SRR502329_peak_2,66,.,2.03222,10.9412,6.61866,21,247
KI270438.1,105039,105485,SRR502329_peak_3,164,.,2.02753,20.9328,16.4091,81,446
KI270438.1,109689,110429,SRR502329_peak_4,67,.,1.56493,11.0761,6.74999,498,740
KI270438.1,111223,111687,SRR502329_peak_5,59,.,1.52167,10.2471,5.93662,344,464
KI270466.1,153,472,SRR502329_peak_6,44,.,1.82131,8.754,4.49594,310,319
KI270467.1,914,1166,SRR502329_peak_7,140,.,2.87502,18.5326,14.065,182,252
KI270467.1,1945,2374,SRR502329_peak_8,127,.,2.08407,17.1503,12.7098,254,429
KI270467.1,3060,3433,SRR502329_peak_9,57,.,1.71754,10.0627,5.7593,339,373
KI270467.1,3475,3718,SRR502329_peak_10,27,.,1.59254,6.95315,2.78022,5,243
KI270729.1,2196,2419,SRR502329_peak_11,66,.,3.16252,11.0021,6.67835,176,223
KI270734.1,116647,117168,SRR502329_peak_12,94,.,6.09947,13.7915,9.41066,327,521
KI270734.1,117761,117980,SRR502329_peak_13,106,.,8.28003,15.0351,10.6286,38,219
KI270744.1,12879,13089,SRR502329_peak_14,51,.,4.66533,9.40452,5.12096,98,210
chr1,1013081,1013576,SRR502329_peak_15,1125,.,16.7839,119.015,112.509,304,495
chr1,1016241,1016441,SRR502329_peak_16,108,.,7.60633,15.2768,10.867,15,200
chr1,8752563,8752809,SRR502329_peak_17,149,.,7.07695,19.4046,14.9133,96,246
chr1,21791495,21791723,SRR502329_peak_18,171,.,5.71895,21.7312,17.1784,120,228
chr1,25355857,25356258,SRR502329_peak_19,1591,.,30.9617,166.102,159.119,197,401
chr1,27672119,27672543,SRR502329_peak_20,937,.,10.956,100.125,93.788,193,424
chr1,44048318,44048584,SRR502329_peak_21,270,.,8.43112,31.9361,27.0835,108,266
chr1,54377110,54377440,SRR502329_peak_22,279,.,8.97297,32.8595,27.9518,180,330
chr1,109910676,109910916,SRR502329_peak_23,193,.,10.1584,23.944,19.3372,89,240
chr1,154608064,154608384,SRR502329_peak_24,413,.,11.7447,46.8522,41.3124,144,320
